,OutDeg_RedConfltAgu,Indeg_RedConfltAgu,Degree_RedConfliAgu,Degree_RedeIrmonsPr,OutDeg_PaiTiopaterC,Indeg_PaiTiopaterC,OutDeg_TiosMaternos,Indeg_TiosMaternos,Degree_IntimAmigUnd,OutDeg_IntimAmigos_,Indeg_IntimAmigos_,OutDeg_RedeRisk_Cen,Indeg_RedeRisk_Cen,OutDeg_RedeConfianc,Indeg_RedeConfianc,Degree_RedeConflitA,Degree_RedeConflitG,OutDeg_VendaParcela,Indeg_VendaParcela,OutDeg_EmprestParce,Indeg_EmprestParce,PC1_Distance_Pro,PC2_Distance_Pro,Avg_Distancia_Dist_moranza,Degree_RedeTotFamil,1_VarExp_Moranca,2_VarExp_Atri_Tabanca,3_VarExp_Atri_Fanado,4_VarExp_Atri_CargosWM,5_VarExp_Atri_Idade,6_VarExp_Atri_ClassIdade,7_VarExp_Atri_IndForcaFugon,8_VarExp_Atri_IndInvestDiq,9_VarExp_Atri_IndMelhorTecnDiqCint,10_VarExp_Atri_MelhorTecnTubos,Area_bolanha,Degree_Rede_EntreajudaLabur,Indeg_Var.Dep_RedeControlExtAusencia,Indeg_Var.Dep_ApoioSpecDiqCint,Indeg_Var.Dep_ApoioSpecTubos,Indeg_Var.Dep_RedApoiLevntDiCin,Indeg_RedCont_DiqPriqDiqCint,Indeg_RedeRepar_DiqPriqDiqCint,Indeg_Red-Val_Cont1Rep2DiqCin,Indeg_Red-Val_Cont1Rep2DiqPrq,Indeg_ContRep2_DiqPrqCin,Indeg_Var.Dep_RedePartilhaAgu
OutDeg_RedConfltAgu,1.0,0.9853842055683342,0.9785667168573924,0.13733038858047697,0.01617888728525437,-0.06503602451475073,0.12750552637818593,0.014766409041501132,0.21246176455565624,0.2209033759490227,0.15136780458875507,0.1109152249426714,-0.004502186026196794,-0.015544164120998242,0.24047792293509207,0.3704810391060597,0.24638592205396267,0.2253624327614775,-0.1284043356151225,-0.06342102766349265,0.1741756753282419,-0.27518424221491133,-0.10156171756933506,-0.10554765849732303,0.10931681741376953,0.05695160640818428,0.1895511260058679,-0.0977672761804883,0.14683077461284266,-0.04658594624275954,-0.02462290262335071,0.06913267258625805,0.12316292477916256,0.19633399456755876,0.165163340798552,0.210518778550598,0.02377922523522553,0.24102561020240987,0.13106975562643566,0.031698452653721225,0.019205882262560287,0.14747226093082594,0.07968494488693298,0.036748856441865575,0.1038623603544368,0.14246320022692852,0.09163951447484749
Indeg_RedConfltAgu,0.9853842055683342,1.0,0.9784331842133831,0.1332536413449615,0.015698605865419744,-0.06310538530306561,0.12372043694861246,0.014328058011836958,0.2030791783153089,0.2012515019949342,0.15830874092563896,0.1264283452854611,0.003513157944529694,-0.023967069697366995,0.24475827207568399,0.42090466204036986,0.2733007100206841,0.25828028294604727,-0.12459256441387537,-0.06153833074642116,0.22836979133219135,-0.2636089460398776,-0.09743590730221689,-0.11935372173579463,0.10607167234578063,0.05028023300821598,0.21512235290284398,-0.09486498720415522,0.17477233269832507,-0.037825909535999,-0.023891954788441715,0.06708042155308877,0.13513408810893,0.21078871637306984,0.1602603531934859,0.22394432017839633,0.05109647016871774,0.21499708789613747,0.0989654926341911,0.020233025558124212,0.018635742410566477,0.12547511646169052,0.07731944237770774,0.0433116425234897,0.0900967119545396,0.12909092868236424,0.0889191323281067
Degree_RedConfliAgu,0.9785667168573924,0.9784331842133831,1.0,0.11554998855067213,0.02020776536488124,-0.058369599068735255,0.10820998074812992,0.012322588467439142,0.1849288602814772,0.1827609279084691,0.14995378531924883,0.1331852407123133,0.0025372490837584608,-0.03350308360149414,0.23780219813307196,0.2965896585046667,0.20621016260510244,0.26138407498587096,-0.12532890369851982,-0.05601457826962016,0.21533406618998255,-0.2555165918943167,-0.08290275439650471,-0.11438201300436039,0.09229242804381303,0.06983288150141838,0.18902769761261362,-0.10702932020613193,0.1448295261251617,-0.04628999113467721,-0.007826035670759726,0.010122792955214295,0.11768249928957839,0.1965291944051343,0.1541738989821838,0.21226134578895947,0.039260284097744035,0.20809269593542204,0.11028574132728398,0.004839989094419735,-0.0009801055150890636,0.10344569028561856,0.05633873991766158,0.00035197922249317773,0.0921939495590361,0.1020355823682923,0.09375900845360405
Degree_RedeIrmonsPr,0.13733038858047697,0.1332536413449615,0.11554998855067213,1.0,0.08374808163771406,-0.06838542967416118,0.5891058162404189,0.11288718381144258,-0.06692942002538319,-0.058277387872415834,0.05542027211136589,-0.04548882657761486,0.05721249452798031,0.25204049793356903,0.3365407468556834,0.042607667855013465,0.18786633676460593,0.03844803768980467,0.03429939486959155,0.07082645987715089,0.022770147047463482,-0.1884017680034501,0.05865677673784072,-0.1401452534061506,0.8117833573309513,-0.285034974661451,0.32600351876538275,-0.2532117524700316,0.1837768921877249,-0.07325914120057544,-0.06558286374337066,0.0025490415059272096,0.08254007844296166,0.31476152096649346,0.3138679551647618,0.10182966226713464,-0.09872136101709453,0.17222690267645674,0.1713452205456732,0.10475457013667347,0.2585429751119242,0.2722101526301291,0.2010506056888653,0.28165284425949033,0.18716462143492124,0.2522275041945932,0.17989024413434226
OutDeg_PaiTiopaterC,0.01617888728525437,0.015698605865419744,0.02020776536488124,0.08374808163771406,1.0,-0.13209671475381662,0.13328477932821733,-0.05538509502554786,-0.031024827426079548,-0.17311437327823004,0.12854899726154867,0.1782782113968749,0.14257177591368644,-0.08836279750850796,0.17101523435820346,-0.07962761628695031,0.2620882825865385,0.04942252975447902,0.041826702844100894,0.06280344294559362,0.028860353539421953,-0.03428290769890526,0.041622832341609545,-0.09800353803943872,0.23277216921661592,-0.16526050777863677,0.1450355768753198,0.2169033578842001,0.08571184146700428,0.22597681961444707,0.1225649600660317,0.09976551166862753,0.2720780408026766,0.15473675569130316,0.11487568914311333,0.18754610160649104,0.017637648994912894,0.09920935341215595,0.027146327662588586,-0.05542870946972415,0.040925896955616776,0.0942227652352559,0.0773776668356941,0.1959661848444308,0.004904784993517575,0.11365566643553703,0.044141572727664724
Indeg_PaiTiopaterC,-0.06503602451475073,-0.06310538530306561,-0.058369599068735255,-0.06838542967416118,-0.13209671475381662,1.0,-0.0846716080388905,-0.06803908556437838,0.03088057442834667,0.12889373487287614,-0.06354033351048506,0.09334855374975352,-0.06624586216914832,0.05040052848151575,-0.061004576105798305,-0.022445669362151,0.02025182881308063,-0.10573022209394203,0.14728942756179822,0.028458553599066877,-0.0418383890331009,-0.06251330653428723,0.002039778789250834,-0.09588369850754301,0.11884892654445776,-0.13265329587022107,0.1362683834044498,-0.12435048214382442,-0.07138431173386123,-0.18184920782452807,-0.10693730530586908,-0.012089777584468627,-0.09953096653793919,-0.06437439451682575,-0.06769813102788999,0.006187352483461668,-0.06872393988661468,-0.16191672154286332,-0.018901998840535214,0.031134354500376476,0.02240042886752225,0.07215474407632777,0.0472249124857648,-0.020644068306199165,0.11878530031788632,0.049747317585544244,-0.09212657160759222
OutDeg_TiosMaternos,0.12750552637818593,0.12372043694861246,0.10820998074812992,0.5891058162404189,0.13328477932821733,-0.0846716080388905,1.0,0.1950718375466189,-0.005711241510172724,0.036781957981256115,0.034012685333726526,-0.07042841883314545,0.027048318740629736,0.19331561837650627,0.3599749550027286,0.016294318264116082,0.09408911037094864,0.04480191445085283,-0.08284422723265253,0.020096153846153764,-0.07974839624890209,-0.14578764759165913,0.022465715328373537,-0.06227561386032745,0.7049972606853862,-0.2212154873266258,0.13022208092067858,-0.17416444008708304,0.2694626397775298,-0.06603059334069385,0.0024547020291006308,0.047095868337253446,0.14377713021800193,0.31009685869499454,0.34833165652178305,0.08029825718609977,0.11753430209810796,0.30818981808552154,0.1050235932236905,-0.000950464712638742,0.1843387372862265,0.21289014667703782,0.19590079537012306,0.20092547286637344,0.13451988349866362,0.24004386943609385,0.12111274036794499
Indeg_TiosMaternos,0.014766409041501132,0.014328058011836958,0.012322588467439142,0.11288718381144258,-0.05538509502554786,-0.06803908556437838,0.1950718375466189,1.0,0.03962228307943451,0.007465482237571821,0.08161108904817098,-0.03617251929209101,-0.03621569145749197,0.1291905975799779,0.17492131607443734,0.03133876107101356,-0.041279511600317474,-0.03920064299457048,-0.08776817417392951,-0.09798038625126376,0.0311927622408323,-0.04737134155132371,0.1298624076128637,-0.013947957634740311,0.5470004374225657,-0.062395029223872425,0.014380513549824066,-0.13031364768755752,0.06592157936484887,-0.15499532025272542,-0.11187801929413999,0.1450926847575347,0.021247403615717312,0.07816392556488706,0.30719223199857476,-0.0232294179880513,-0.14473899066825016,0.09829420014693711,0.11988443326510254,0.03493432211383538,0.06279715085495417,0.11812732626836475,0.17276420374234627,0.13181930896174218,0.10238128594056328,0.16887847576204879,-0.012789676293425027
Degree_IntimAmigUnd,0.21246176455565624,0.2030791783153089,0.1849288602814772,-0.06692942002538319,-0.031024827426079548,0.03088057442834667,-0.005711241510172724,0.03962228307943451,1.0,0.738757965721136,0.7168087605586128,0.21484590386050376,0.17843109055655612,0.16396024931750577,0.3712649849529893,-0.014621069521103829,-0.09331138241808672,0.13576947935912242,0.10659497820924424,0.13984729971413762,0.07813417019861152,-0.13903109540689867,0.03714070120093575,-0.059066733904634,-0.026021546769885332,-0.02250978631437948,0.1706835414521858,0.008515509575635356,0.09152965967008612,-0.01209074056762782,0.01057433378670112,0.3293141427930325,0.25352058989172,0.31216062271930134,0.18394797561651724,0.3115717093759224,0.022600276974841058,0.16581571560050065,0.10224701579741485,-0.00621172949514332,0.09957446528859937,0.24654706817080824,0.21430454136098198,0.09634965446832007,0.25444583761298717,0.2455790859030096,0.23442998421455769
OutDeg_IntimAmigos_,0.2209033759490227,0.2012515019949342,0.1827609279084691,-0.058277387872415834,-0.17311437327823004,0.12889373487287614,0.036781957981256115,0.007465482237571821,0.738757965721136,1.0,0.12408849203685135,0.007647697527907649,-0.04652383567060249,0.18723797723829394,0.18815616494678533,0.0557125147448041,-0.013939635795334136,0.06906660413909717,0.02279184961126303,0.12259010242111895,-0.008379212302747787,-0.08409006887655242,-0.05945601335552373,0.023986355748643242,-0.030597161610094358,0.005361971746139985,-0.006605351067945605,-0.026192859243575825,-0.017788095039742217,-0.12819692046995468,-0.023669907941727932,0.10506549203671318,0.05113049227906946,0.06281080483106707,0.12176857415362097,0.07306816357202844,0.07073434037878167,0.18562575432782621,0.03311482672470877,-0.12824050748242158,0.03657148069244796,0.2893679797382156,0.3091385544532819,0.044513926800073385,0.37477599227899755,0.3169297369776855,0.08500801606676277
