,Variable,Importancia
3,PC1_Distance_Pro,0.10798171832562989
4,Avg_Distancia_Dist_moranza,0.10488100743953427
15,Area_bolanha,0.09299316479024296
21,OutDeg_RedeConfianc,0.07740089969442372
10,5_VarExp_Atri_Idade,0.07612010924623525
6,1_VarExp_Moranca,0.05940651311311627
19,OutDeg_IntimAmigos_,0.0587462364198254
13,9_VarExp_Atri_IndMelhorTecnDiqCint,0.05545405961339414
5,Degree_RedeTotFamil,0.051844994820735735
22,OutDeg_VendaParcela,0.048970286771201105
18,OutDeg_TiosMaternos,0.034209187041445384
2,Indeg_IntimAmigos_,0.03415161246633464
1,Degree_IntimAmigUnd,0.029191416138429654
17,OutDeg_PaiTiopaterC,0.028705031127900814
12,8_VarExp_Atri_IndInvestDiq,0.026698807449717584
20,OutDeg_RedeRisk_Cen,0.026116582532860717
23,OutDeg_EmprestParce,0.020096384360208316
11,7_VarExp_Atri_IndForcaFugon,0.01806951947025552
14,10_VarExp_Atri_MelhorTecnTubos,0.0171756972347167
7,2_VarExp_Atri_Tabanca,0.012384491506074248
8,3_VarExp_Atri_Fanado,0.0069434785710399075
16,OutDeg_RedConfltAgu,0.005668416959333357
0,Indeg_RedConfltAgu,0.005007949387363465
9,4_VarExp_Atri_CargosWM,0.0017824355199809621
