Dependent Variable,10_VarExp_Atri_MelhorTecnTubos,1_VarExp_Moranca,2_VarExp_Atri_Tabanca,3_VarExp_Atri_Fanado,4_VarExp_Atri_CargosWM,5_VarExp_Atri_Idade,6_VarExp_Atri_ClassIdade,7_VarExp_Atri_IndForcaFugon,8_VarExp_Atri_IndInvestDiq,9_VarExp_Atri_IndMelhorTecnDiqCint,Area_bolanha,Avg_Distancia_Dist_moranza,Degree_IntimAmigUnd,Degree_RedConfliAgu,Degree_RedeConflitA,Degree_RedeConflitG,Degree_RedeIrmonsPr,Degree_RedeTotFamil,OutDeg_EmprestParce,OutDeg_IntimAmigos_,OutDeg_PaiTiopaterC,OutDeg_RedConfltAgu,OutDeg_RedeConfianc,OutDeg_RedeRisk_Cen,OutDeg_TiosMaternos,OutDeg_VendaParcela,PC1_Distance_Pro,PC2_Distance_Pro
Degree_Rede_EntreajudaLabur,,,,0.13609690754371814,,0.18309042372961518,0.21276491831549285,-0.22641706527618924,,,,0.3017439913488204,,,,,,-0.11417323849135172,0.17146021038555087,,,,,,0.11753430209810772,,,0.11583583794389311
Indeg_ContRep2_DiqPrqCin,0.3012990301630506,-0.1316251088693061,0.2951083413430916,-0.2012894690811336,0.24867507241847242,,,0.10628240806214075,0.10427914947066871,0.2510013406857665,0.1829297319729726,,0.24557908590300964,0.1020355823682925,,0.120894287703047,0.25222750419459317,0.3250980710814974,0.1184358629993993,0.31692973697768584,0.11365566643553698,0.14246320022692857,0.4806314060542547,0.1544520591130607,0.24004386943609385,0.14878770145121173,-0.32403168055525955,0.10799854914220032
Indeg_Red-Val_Cont1Rep2DiqCin,0.28072298712245985,-0.113928794709083,0.35716466669787417,-0.10728824544746424,0.23328462120510737,0.14048712833834054,0.11136019103453136,0.1500595499074596,0.2703400907961127,0.3599578851277699,0.36207015805325893,-0.1212801326415635,,,0.15912602713778448,0.18943784858479867,0.2816528442594904,0.315127435001019,0.12179081769616855,,0.19596618484443068,,0.189794191771211,0.3076398473882496,0.20092547286637333,,-0.19298884635320052,0.25998843399446675
Indeg_Red-Val_Cont1Rep2DiqPrq,0.10751471108501957,-0.16840369859292456,0.23542571851657657,-0.19256378690111856,0.10115549775377329,,,,,0.15631450883344597,,,0.2544458376129872,,,,0.18716462143492116,0.22457919001698556,,0.3747759922789975,,0.10386236035443683,0.5284405796896842,0.11493949974536917,0.1345198834986636,,-0.28263352057448604,
Indeg_RedCont_DiqPriqDiqCint,0.2234159719170481,,0.33847414778126944,-0.19731557664177876,0.21803287714056774,,,,,0.27003888393894765,0.1229826526256721,,0.246547068170808,0.10344569028561852,,0.10593399903519152,0.272210152630129,0.30926406768550707,,0.2893679797382156,,0.1474722609308259,0.4594079207728263,0.14528344088675138,0.21289014667703743,0.12245786562430992,-0.3776768108466858,0.11594097671735952
Indeg_RedeRepar_DiqPriqDiqCint,0.25378680467532144,-0.18527907173245176,0.2247945656055964,-0.15242897306482944,0.17905306944120536,,,,0.10548835012969937,0.22107529581798374,0.13396808056517284,,0.21430454136098198,,,0.12462889856058543,0.20105060568886537,0.27664951888066985,0.12004504547861243,0.30913855445328214,,,0.4671415768351082,0.1218942841733668,0.19590079537012312,0.13279024199004164,-0.2212266142369488,0.10117442508756945
Indeg_Var.Dep_ApoioSpecDiqCint,,0.18802653799354585,0.38391911750855234,-0.11750303411769493,0.1475912923416975,,,,,,0.3065364850100542,-0.12713350864179634,0.10224701579741471,0.11028574132728396,,,0.17134522054567317,0.18775274537619302,,,,0.13106975562643564,0.2217477563602803,0.2001804882084687,0.10502359322369044,0.10121368415727162,-0.24119154135148493,0.20385845158067345
Indeg_Var.Dep_ApoioSpecTubos,-0.10664568424479162,0.11437768308703845,0.3193254300655744,-0.22226997305824903,0.10038033902179676,,,,,,0.29844399699574353,-0.10802570436855234,,,,0.13311056170756322,0.10475457013667339,,,-0.1282405074824214,,,0.16714733769019438,0.12459768301702305,,,-0.15903802799220504,0.22154988409316917
Indeg_Var.Dep_RedApoiLevntDiCin,,,0.40141324473345297,-0.12591943148349607,0.12875096396753966,,,,0.11653165889173642,0.22693656213102695,0.34222091049669157,-0.2048323821535359,,,,0.12437246101259705,0.25854297511192437,0.24857577262290223,0.11109404245534836,,,,0.19923108439944365,0.3169254916190472,0.18433873728622643,,-0.1705090407128823,0.14961929221982473
Indeg_Var.Dep_RedeControlExtAusencia,,,0.12923197114770488,,,,,,,,,,0.16581571560050082,0.20809269593542232,,,0.1722269026764567,0.20738615843628216,,0.18562575432782638,,0.24102561020240995,0.16507360626238865,,0.3081898180855217,,-0.11754936611817833,0.10973912332725734
Indeg_Var.Dep_RedePartilhaAgu,0.14579405204532264,,0.26367742961120344,,0.11606471286889762,,,0.2579942099441423,0.16812879257703686,0.2841673089007496,0.3316682058037534,,0.2344299842145576,,,,0.17989024413434232,0.1194097559893764,0.1347407533962632,,,,,0.2737968345357751,0.12111274036794492,,-0.1911587592714698,
