,OutDeg_RedConfltAgu,Degree_RedConfliAgu,Degree_RedeIrmonsPr,OutDeg_PaiTiopaterC,OutDeg_TiosMaternos,Degree_IntimAmigUnd,OutDeg_IntimAmigos_,OutDeg_RedeRisk_Cen,OutDeg_RedeConfianc,Degree_RedeConflitA,Degree_RedeConflitG,OutDeg_VendaParcela,OutDeg_EmprestParce,PC1_Distance_Pro,PC2_Distance_Pro,Avg_Distancia_Dist_moranza,Degree_RedeTotFamil,1_VarExp_Moranca,2_VarExp_Atri_Tabanca,3_VarExp_Atri_Fanado,4_VarExp_Atri_CargosWM,5_VarExp_Atri_Idade,6_VarExp_Atri_ClassIdade,7_VarExp_Atri_IndForcaFugon,8_VarExp_Atri_IndInvestDiq,9_VarExp_Atri_IndMelhorTecnDiqCint,10_VarExp_Atri_MelhorTecnTubos,Area_bolanha
Degree_Rede_EntreajudaLabur,0.023779225235225365,0.03926028409774387,-0.09872136101709483,0.017637648994912793,0.11753430209810772,0.022600276974840895,0.07073434037878176,-0.01312085465324189,-0.027179818942589418,-0.0020205024762947246,-0.0625101624715314,0.05888387022384362,0.17146021038555087,-0.007809624688497242,0.11583583794389311,0.3017439913488204,-0.11417323849135172,-0.0424666753781945,0.07131017594319877,0.13609690754371814,0.022279058761205693,0.18309042372961518,0.21276491831549285,-0.22641706527618924,-0.08077550695909969,-0.04950364963867826,-0.03195677278035986,-0.07686931410424644
Indeg_Var.Dep_RedeControlExtAusencia,0.24102561020240995,0.20809269593542232,0.1722269026764567,0.09920935341215596,0.3081898180855217,0.16581571560050082,0.18562575432782638,0.045817263990171546,0.16507360626238865,-0.04271164677330775,-0.09435288391121076,-0.027701239732027646,0.05258295686381386,-0.11754936611817833,0.10973912332725734,0.04070561877891063,0.20738615843628216,-0.07381160832592729,0.12923197114770488,-0.013665577307269302,0.056072094624557506,-0.06986700968364597,-0.031878217217981286,-0.005953348278341091,0.02095222646744404,0.07880416917424685,0.0811913062811357,0.028156995910008916
Indeg_Var.Dep_ApoioSpecDiqCint,0.13106975562643564,0.11028574132728396,0.17134522054567317,0.027146327662588465,0.10502359322369044,0.10224701579741471,0.033114826724708855,0.2001804882084687,0.2217477563602803,0.025723008616325517,0.05017205292318193,0.10121368415727162,0.09064356218790685,-0.24119154135148493,0.20385845158067345,-0.12713350864179634,0.18775274537619302,0.18802653799354585,0.38391911750855234,-0.11750303411769493,0.1475912923416975,0.08139632178548685,0.08809563525373845,-0.007896339037911995,-0.0027756277434230463,0.0573839708726441,0.07259181939994294,0.3065364850100542
Indeg_Var.Dep_ApoioSpecTubos,0.031698452653721274,0.004839989094419787,0.10475457013667339,-0.05542870946972404,-0.000950464712638748,-0.006211729495143427,-0.1282405074824214,0.12459768301702305,0.16714733769019438,0.0808760024637442,0.13311056170756322,0.04720298254087347,0.09713749363168461,-0.15903802799220504,0.22154988409316917,-0.10802570436855234,0.0798847215337051,0.11437768308703845,0.3193254300655744,-0.22226997305824903,0.10038033902179676,0.09311238982876041,0.052432029853496036,-0.06213527053215931,-0.048696160584927504,0.04983695525788512,-0.10664568424479162,0.29844399699574353
Indeg_Var.Dep_RedApoiLevntDiCin,0.019205882262560318,-0.0009801055150889988,0.25854297511192437,0.04092589695561672,0.18433873728622643,0.09957446528859928,0.03657148069244794,0.3169254916190472,0.19923108439944365,0.07911174701616741,0.12437246101259705,0.045860180410160024,0.11109404245534836,-0.1705090407128823,0.14961929221982473,-0.2048323821535359,0.24857577262290223,-0.00486207115856904,0.40141324473345297,-0.12591943148349607,0.12875096396753966,-0.005156527951965734,-0.033583138009996794,0.03898318532563339,0.11653165889173642,0.22693656213102695,0.04500197040635019,0.34222091049669157
Indeg_RedCont_DiqPriqDiqCint,0.1474722609308259,0.10344569028561852,0.272210152630129,0.09422276523525568,0.21289014667703743,0.246547068170808,0.2893679797382156,0.14528344088675138,0.4594079207728263,0.054311932862627484,0.10593399903519152,0.12245786562430992,0.07775694924410768,-0.3776768108466858,0.11594097671735952,-0.023785014402170578,0.30926406768550707,-0.07841098366894785,0.33847414778126944,-0.19731557664177876,0.21803287714056774,0.015210560029914806,0.037913632390380404,0.09196501157108873,0.03953339921332126,0.27003888393894765,0.2234159719170481,0.1229826526256721
Indeg_RedeRepar_DiqPriqDiqCint,0.07968494488693317,0.05633873991766167,0.20105060568886537,0.07737766683569401,0.19590079537012312,0.21430454136098198,0.30913855445328214,0.1218942841733668,0.4671415768351082,0.017589549886036625,0.12462889856058543,0.13279024199004164,0.12004504547861243,-0.2212266142369488,0.10117442508756945,-0.015536960282587746,0.27664951888066985,-0.18527907173245176,0.2247945656055964,-0.15242897306482944,0.17905306944120536,-0.021033879517761034,0.039451132148216696,0.03165868556524647,0.10548835012969937,0.22107529581798374,0.25378680467532144,0.13396808056517284
Indeg_Red-Val_Cont1Rep2DiqCin,0.036748856441865575,0.00035197922249313523,0.2816528442594904,0.19596618484443068,0.20092547286637333,0.09634965446831989,0.04451392680007337,0.3076398473882496,0.189794191771211,0.15912602713778448,0.18943784858479867,0.07309056057843134,0.12179081769616855,-0.19298884635320052,0.25998843399446675,-0.1212801326415635,0.315127435001019,-0.113928794709083,0.35716466669787417,-0.10728824544746424,0.23328462120510737,0.14048712833834054,0.11136019103453136,0.1500595499074596,0.2703400907961127,0.3599578851277699,0.28072298712245985,0.36207015805325893
Indeg_Red-Val_Cont1Rep2DiqPrq,0.10386236035443683,0.09219394955903618,0.18716462143492116,0.004904784993517452,0.1345198834986636,0.2544458376129872,0.3747759922789975,0.11493949974536917,0.5284405796896842,-0.05287156418010133,0.04691006137716244,0.05692862667553108,0.08422114445133708,-0.28263352057448604,0.0971465177659824,0.026233260834414785,0.22457919001698556,-0.16840369859292456,0.23542571851657657,-0.19256378690111856,0.10115549775377329,-0.08932971433722896,-0.024521479069975167,-0.016672702888732124,0.030576691560812767,0.15631450883344597,0.10751471108501957,0.06722347082669164
Indeg_ContRep2_DiqPrqCin,0.14246320022692857,0.1020355823682925,0.25222750419459317,0.11365566643553698,0.24004386943609385,0.24557908590300964,0.31692973697768584,0.1544520591130607,0.4806314060542547,0.0510089845516281,0.120894287703047,0.14878770145121173,0.1184358629993993,-0.32403168055525955,0.10799854914220032,-0.018883985940939457,0.3250980710814974,-0.1316251088693061,0.2951083413430916,-0.2012894690811336,0.24867507241847242,-0.007007181172790959,0.03577445800856745,0.10628240806214075,0.10427914947066871,0.2510013406857665,0.3012990301630506,0.1829297319729726
Indeg_Var.Dep_RedePartilhaAgu,0.09163951447484751,0.09375900845360405,0.17989024413434232,0.044141572727664724,0.12111274036794492,0.2344299842145576,0.08500801606676274,0.2737968345357751,0.021345698696573222,-0.04309646490252932,-0.0684112656771093,-0.06332950108034152,0.1347407533962632,-0.1911587592714698,0.031600826282023854,-0.04414676469015286,0.1194097559893764,-0.06482451393841253,0.26367742961120344,-0.0018585495893157047,0.11606471286889762,0.09909610594401294,0.06633523325287946,0.2579942099441423,0.16812879257703686,0.2841673089007496,0.14579405204532264,0.3316682058037534
