,Variable,Importancia
2,PC1_Distance_Pro,0.17185139809478606
5,1_VarExp_Moranca,0.15174920387429727
12,9_VarExp_Atri_IndMelhorTecnDiqCint,0.13334989670742495
3,Avg_Distancia_Dist_moranza,0.09640436240747896
9,5_VarExp_Atri_Idade,0.09269723621986369
4,Degree_RedeTotFamil,0.08772062814367604
11,8_VarExp_Atri_IndInvestDiq,0.061882500017859485
0,Indeg_IntimAmigos_,0.05580331079348341
1,Indeg_RedeRisk_Cen,0.048784196799230926
10,7_VarExp_Atri_IndForcaFugon,0.03294100713389339
13,10_VarExp_Atri_MelhorTecnTubos,0.028998931625132177
6,2_VarExp_Atri_Tabanca,0.016413961025118703
8,4_VarExp_Atri_CargosWM,0.014295406909858678
7,3_VarExp_Atri_Fanado,0.007107960247896392
