,Interacción,Importancia,Dirección
0,"('PC1_Distance_Pro', 'Area_bolanha')",0.3564462863811134,0.0026393905449200077
1,"('1_VarExp_Moranca', 'Area_bolanha')",0.34479993621302396,0.009957843897791347
2,"('Indeg_RedeRisk_Cen', 'Area_bolanha')",0.3333056444314383,0.03358016400654
3,"('5_VarExp_Atri_Idade', 'Area_bolanha')",0.3301536347778292,-0.010333270510447664
4,"('Indeg_IntimAmigos_', 'Area_bolanha')",0.3198529921899757,-0.009990921920008484
5,"('Degree_RedeConflitA', 'Area_bolanha')",0.31638270384163286,0.4101472205797377
6,"('Degree_IntimAmigUnd', 'Area_bolanha')",0.3145299472062161,-0.00010943785082052214
7,"('4_VarExp_Atri_CargosWM', 'Area_bolanha')",0.3135868281529387,0.049639020932474784
8,"('Degree_RedeTotFamil', 'Area_bolanha')",0.3119383628542657,0.0017986867325677656
9,"('8_VarExp_Atri_IndInvestDiq', 'Area_bolanha')",0.3108691517276943,0.003644358657007891
